業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/11,月,平日,,晴,25.0,15.0,計,435147,500000,0.8703,0.8703,519727,0.8373,188,76,2314.6,2.14,250,0.7520,231,0.8139,0,78324,0.1800,0.1800,0,104342,0.2398,0.2398,0.4198,0.4198,4635,5633.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/12,火,平日,,曇,26.0,18.0,計,438498,500000,0.8770,0.8736,697805,0.6284,175,78,2505.7,1.99,250,0.7000,253,0.6917,0,59602,0.1359,0.1579,0,100822,0.2299,0.2348,0.3658,0.3927,4474,5880.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/13,水,平日,,雨,25.0,20.0,計,560331,600000,0.9339,0.8962,505936,1.1075,237,80,2364.3,2.69,300,0.7900,218,1.0872,0,21824,0.0389,0.1114,0,101106,0.1804,0.2136,0.2194,0.3250,4432,7585.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/14,木,平日,,晴,28.0,18.0,計,557679,500000,1.1154,0.9484,634401,0.8791,232,90,2403.8,2.64,250,0.9280,255,0.9098,0,53343,0.0957,0.1070,0,99930,0.1792,0.2040,0.2748,0.3109,4446,7526.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/15,金,平日,,晴,28.0,17.0,計,545642,600000,0.9094,0.9397,695635,0.7844,225,92,2425.1,2.56,300,0.7500,268,0.8396,0,106257,0.1947,0.1259,0,102631,0.1881,0.2005,0.3828,0.3264,4513,7254.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/16,土,土曜,,晴,27.0,19.0,計,780781,800000,0.9760,0.9480,1089071,0.7169,341,124,2289.7,3.88,400,0.8525,480,0.7104,0,,0.0000,0.0962,0,139679,0.1789,0.1954,0.1789,0.2917,6139,7631.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/17,日,日祝,,晴,29.0,18.0,計,604332,750000,0.8058,0.9229,863623,0.6998,280,114,2158.3,3.18,375,0.7467,379,0.7388,0,,0.0000,0.0814,0,142103,0.2351,0.2016,0.2351,0.2830,6345,5714.7,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/11,月,平日,,晴,25.0,15.0,計,123623,110000,1.1238,1.1238,124635,0.9919,71,40,1741.2,0.81,58,1.2241,63,1.1270,0,70131,0.5673,0.5673,0,58259,0.4713,0.4713,1.0386,1.0386,2466,3007.9,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/12,火,平日,,曇,25.0,17.0,計,122780,100000,1.2278,1.1733,107539,1.1417,72,38,1705.3,0.82,53,1.3585,59,1.2203,0,19667,0.1602,0.3644,0,49735,0.4051,0.4383,0.5653,0.8027,2313,3185.0,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/13,水,平日,,曇,25.0,19.0,計,116373,130000,0.8952,1.0670,135930,0.8561,52,31,2237.9,0.59,68,0.7647,72,0.7222,0,55178,0.4741,0.3996,0,52845,0.4541,0.4434,0.9282,0.8430,2326,3001.9,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/14,木,平日,,雨,27.0,17.0,計,93305,100000,0.9331,1.0365,105832,0.8816,48,32,1943.9,0.55,53,0.9057,63,0.7619,0,19323,0.2071,0.3602,0,54426,0.5833,0.4720,0.7904,0.8322,2340,2392.4,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/15,金,平日,,晴,27.0,16.0,計,123564,110000,1.1233,1.0539,126046,0.9803,60,35,2059.4,0.68,58,1.0345,73,0.8219,0,112231,0.9083,0.4771,0,48862,0.3954,0.4557,1.3037,0.9327,2131,3479.0,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/16,土,土曜,,晴,27.0,19.0,計,310177,300000,1.0339,1.0468,317924,0.9756,151,72,2054.2,1.72,158,0.9557,155,0.9742,0,22260,0.0718,0.3358,0,94547,0.3048,0.4031,0.3766,0.7389,4014,4636.4,,0.0000,
