営業日,曜日,曜日区分,企業コード,企業名,営業部コード,営業部名,業態コード,業態名,店舗コード,店舗名,税込/税抜,メニュー大分類コード,メニュー大分類名称,メニュー中分類コード,メニュー中分類名称,メニューコード,メニュー名,売価,予定原価,営業日別販売数
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0501,ぬかるみ焼          ,850,201.00,1.0
2026/05/12,火,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0501,ぬかるみ焼          ,850,201.00,2.0
2026/05/13,水,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0501,ぬかるみ焼          ,850,201.00,1.0
2026/05/15,金,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0501,ぬかるみ焼          ,850,201.00,4.0
2026/05/17,日,日祝,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0501,ぬかるみ焼          ,850,201.00,2.0
2026/05/14,木,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0502,千房焼(大盛)        ,2258,458.00,1.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0502,千房焼(大盛)        ,2300,458.00,6.0
2026/05/12,火,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0502,千房焼(大盛)        ,2300,458.00,5.0
2026/05/13,水,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0502,千房焼(大盛)        ,2300,458.00,3.0
2026/05/14,木,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0502,千房焼(大盛)        ,2300,458.00,5.0
2026/05/15,金,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0502,千房焼(大盛)        ,2300,458.00,4.0
2026/05/16,土,土,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0502,千房焼(大盛)        ,2300,458.00,6.0
2026/05/17,日,日祝,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0502,千房焼(大盛)        ,2300,458.00,5.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0503,豚玉                ,1180,165.00,11.0
2026/05/12,火,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0503,豚玉                ,1180,165.00,11.0
2026/05/13,水,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0503,豚玉                ,1180,165.00,7.0
2026/05/14,木,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0503,豚玉                ,1180,165.00,9.0
2026/05/15,金,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0503,豚玉                ,1180,165.00,9.0
2026/05/16,土,土,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0503,豚玉                ,1180,165.00,14.0
2026/05/17,日,日祝,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0503,豚玉                ,1180,165.00,21.0
2026/05/16,土,土,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0504,いか玉              ,1158,181.00,1.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0504,いか玉              ,1180,181.00,1.0
2026/05/13,水,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0504,いか玉              ,1180,181.00,2.0
2026/05/14,木,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0504,いか玉              ,1180,181.00,2.0
2026/05/15,金,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0504,いか玉              ,1180,181.00,2.0
2026/05/16,土,土,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0504,いか玉              ,1180,181.00,1.0
2026/05/17,日,日祝,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0504,いか玉              ,1180,181.00,3.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0506,もちチーズ玉        ,1500,190.00,1.0
2026/05/12,火,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0506,もちチーズ玉        ,1500,190.00,2.0
2026/05/13,水,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0506,もちチーズ玉        ,1500,190.00,2.0
2026/05/16,土,土,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0506,もちチーズ玉        ,1500,190.00,2.0
2026/05/17,日,日祝,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0506,もちチーズ玉        ,1500,190.00,2.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0507,ミックスねぎ焼      ,1880,366.00,5.0
2026/05/12,火,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0507,ミックスねぎ焼      ,1880,366.00,8.0
2026/05/13,水,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0507,ミックスねぎ焼      ,1880,366.00,4.0
2026/05/14,木,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0507,ミックスねぎ焼      ,1880,366.00,5.0
2026/05/15,金,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0507,ミックスねぎ焼      ,1880,366.00,8.0
2026/05/16,土,土,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0507,ミックスねぎ焼      ,1880,366.00,12.0
2026/05/17,日,日祝,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0507,ミックスねぎ焼      ,1880,366.00,6.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0508,道頓堀焼(大盛)      ,2080,323.00,31.0
2026/05/12,火,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0508,道頓堀焼(大盛)      ,2080,323.00,17.0
2026/05/13,水,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0508,道頓堀焼(大盛)      ,2080,323.00,34.0
2026/05/14,木,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0508,道頓堀焼(大盛)      ,2080,323.00,26.0
2026/05/15,金,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0508,道頓堀焼(大盛)      ,2080,323.00,26.0
2026/05/16,土,土,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0508,道頓堀焼(大盛)      ,2080,323.00,54.0
2026/05/17,日,日祝,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0508,道頓堀焼(大盛)      ,2080,323.00,43.0
2026/05/14,木,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0509,ミックス焼          ,1551,201.00,1.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0509,ミックス焼          ,1580,201.00,2.0
2026/05/12,火,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0509,ミックス焼          ,1580,201.00,2.0
2026/05/13,水,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0509,ミックス焼          ,1580,201.00,4.0
2026/05/14,木,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0509,ミックス焼          ,1580,201.00,4.0
2026/05/15,金,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0509,ミックス焼          ,1580,201.00,4.0
2026/05/16,土,土,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0509,ミックス焼          ,1580,201.00,8.0
2026/05/17,日,日祝,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0509,ミックス焼          ,1580,201.00,9.0
2026/05/11,月,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0510,ミックス広島焼      ,1880,270.00,3.0
2026/05/12,火,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0510,ミックス広島焼      ,1880,270.00,3.0
2026/05/13,水,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0510,ミックス広島焼      ,1880,270.00,3.0
2026/05/14,木,平,0001,千房㈱,000001,第1エリア,0001,千房直営,002   ,千日前本店,税込,01,料理,01,特選お好み焼,0510,ミックス広島焼      ,1880,270.00,5.0
