業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/11,月,平日,,晴,25.0,15.0,計,435147,500000,0.8703,0.8703,519727,0.8373,188,76,2314.6,2.14,250,0.7520,231,0.8139,0,,0.0000,0.0000,0,104342,0.2398,0.2398,0.2398,0.2398,4635,5633.0,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/11,月,平日,,晴,25.0,15.0,計,123623,110000,1.1238,1.1238,124635,0.9919,71,40,1741.2,0.81,58,1.2241,63,1.1270,0,30906,0.2500,0.2500,0,58259,0.4713,0.4713,0.7213,0.7213,2466,3007.9,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/05/11,月,平日,,晴,27.0,13.0,計,194076,200000,0.9704,0.9704,191739,1.0122,81,35,2396.0,2.38,129,0.6279,98,0.8265,0,,0.0000,0.0000,0,51695,0.2664,0.2664,0.2664,0.2664,2223,5238.2,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/05/11,月,平日,,晴,24.0,15.0,計,199278,150000,1.3285,1.3285,265768,0.7498,101,60,1973.0,1.80,83,1.2169,150,0.6733,0,,0.0000,0.0000,0,56185,0.2819,0.2819,0.2819,0.2819,2507,4769.3,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/05/11,月,平日,,晴,26.0,13.0,計,143361,160000,0.8960,0.8960,147648,0.9710,86,44,1667.0,1.62,0,,81,1.0617,0,,0.0000,0.0000,0,56289,0.3926,0.3926,0.3926,0.3926,2468,3485.3,,0.0000,
0001,千房直営,000002,第2エリア,015   ,曽根崎支店,2026/05/11,月,平日,,晴,25.0,15.0,計,,0,,,,,,,,0,0,,,,0,,,,0,0,,,,,0,,,,
0001,千房直営,000004,第4エリア,034   ,華 恵比寿ガーデンプレイス店,2026/05/11,月,平日,,晴,24.0,17.0,計,285082,200000,1.4254,1.4254,313664,0.9089,33,11,8638.8,0.66,20,1.6500,47,0.7021,0,27413,0.0962,0.0962,0,76367,0.2679,0.2679,0.3640,0.3640,3211,5327.0,,0.0000,
0001,千房直営,000002,第2エリア,035   ,京橋京阪モール支店,2026/05/11,月,平日,,晴,25.0,15.0,計,150871,140000,1.0777,1.0777,99130,1.5220,78,42,1934.2,2.05,73,1.0685,56,1.3929,0,,0.0000,0.0000,0,42098,0.2790,0.2790,0.2790,0.2790,1861,4864.2,,0.0000,
0001,千房直営,000002,第2エリア,040   ,ハービスＰＬＡＺＡ梅田支店,2026/05/11,月,平日,,晴,25.0,15.0,計,120759,200000,0.6038,0.6038,205773,0.5869,64,31,1886.9,1.83,88,0.7273,93,0.6882,54200,,0.0000,0.0000,0,52238,0.4326,0.4326,0.4326,0.4326,2280,3177.9,,0.0000,
0001,千房直営,000003,第3エリア,052   ,有楽町ビックカメラ支店,2026/05/11,月,平日,,晴,25.0,17.0,計,279158,220000,1.2689,1.2689,274276,1.0178,83,41,3363.3,1.48,72,1.1528,84,0.9881,0,,0.0000,0.0000,0,76069,0.2725,0.2725,0.2725,0.2725,3054,5484.4,,0.0000,
0001,千房直営,000003,第3エリア,053   ,そごう横浜店,2026/05/11,月,平日,,晴,24.0,17.0,計,141241,180000,0.7847,0.7847,164444,0.8589,58,32,2435.2,1.16,76,0.7632,67,0.8657,7560,,0.0000,0.0000,0,60885,0.4311,0.4311,0.4311,0.4311,2577,3288.5,,0.0000,
0001,千房直営,000003,第3エリア,057   ,ルミネ立川支店,2026/05/11,月,平日,,晴,24.0,13.0,計,104779,150000,0.6985,0.6985,97926,1.0700,52,33,2015.0,1.18,75,0.6933,55,0.9455,0,,0.0000,0.0000,0,58844,0.5616,0.5616,0.5616,0.5616,2627,2393.1,,0.0000,
0001,千房直営,000002,第2エリア,059   ,あべのキューズモール支店,2026/05/11,月,平日,,晴,25.0,15.0,計,148232,200000,0.7412,0.7412,177491,0.8352,77,39,1925.1,1.54,110,0.7000,87,0.8851,0,,0.0000,0.0000,0,60120,0.4056,0.4056,0.4056,0.4056,2663,3339.8,,0.0000,
0001,千房直営,000003,第3エリア,064   ,ヨドバシHD池袋ビル支店,2026/05/11,月,平日,,晴,25.0,17.0,計,44662,140000,0.3190,0.3190,103953,0.4296,23,14,1941.8,0.66,84,0.2738,52,0.4423,39619,,0.0000,0.0000,0,44094,0.9873,0.9873,0.9873,0.9873,1999,1340.5,,0.0000,
0001,千房直営,000002,第2エリア,065   ,名代JO-TERRACE OSAKA店,2026/05/11,月,平日,,晴,25.0,15.0,計,170272,180000,0.9460,0.9460,,,91,42,1871.1,1.57,91,1.0000,,,0,2550,0.0150,0.0150,0,50229,0.2950,0.2950,0.3100,0.3100,2183,4679.9,,0.0000,コブクロ
0001,千房直営,000003,第3エリア,066   ,セレオ八王子支店,2026/05/11,月,平日,,晴,24.0,12.0,計,117253,110000,1.0659,1.0659,84966,1.3800,66,43,1776.6,1.74,57,1.1579,48,1.3750,0,,0.0000,0.0000,0,50332,0.4293,0.4293,0.4293,0.4293,2305,3052.1,,0.0000,
0001,千房直営,000002,第2エリア,067   ,ららぽーと名古屋みなとアクルス店,2026/05/11,月,平日,,晴,27.0,13.0,計,124609,110000,1.1328,1.1328,111615,1.1164,81,41,1538.4,1.45,65,1.2462,58,1.3966,0,-5100,-0.0409,-0.0409,0,56099,0.4502,0.4502,0.4093,0.4093,2593,2883.4,,0.0000,
0001,千房直営,000003,第3エリア,068   ,舞 イクスピアリ店,2026/05/11,月,平日,,晴,23.0,18.0,計,278590,260000,1.0715,1.0715,316981,0.8789,134,51,2079.0,2.58,130,1.0308,144,0.9306,0,,0.0000,0.0000,0,74413,0.2671,0.2671,0.2671,0.2671,2959,5649.0,,0.0000,
0001,千房直営,000003,第3エリア,069   ,有明ガーデン支店,2026/05/11,月,平日,,晴,24.0,18.0,計,177723,180000,0.9874,0.9874,246140,0.7220,69,35,2575.7,1.41,84,0.8214,122,0.5656,38800,,0.0000,0.0000,0,63116,0.3551,0.3551,0.3551,0.3551,2654,4017.9,,0.0000,
0001,千房直営,000002,第2エリア,071   ,イオンモール各務原インター支店,2026/05/11,月,平日,,晴,25.0,14.0,計,75230,60000,1.2538,1.2538,59697,1.2602,53,27,1419.4,1.13,44,1.2045,44,1.2045,0,,0.0000,0.0000,0,30384,0.4039,0.4039,0.4039,0.4039,1411,3199.0,,0.0000,
0001,千房直営,600000,本社,1000  ,本社,2026/05/11,月,平日,,晴,25.0,15.0,計,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
0001,千房直営,000004,第4エリア,101   ,ぷれじでんと南本店,2026/05/11,月,平日,,晴,25.0,15.0,計,147220,260000,0.5662,0.5662,247462,0.5949,10,4,14722.0,0.34,23,0.4348,22,0.4545,0,380,0.0026,0.0026,0,55684,0.3782,0.3782,0.3808,0.3808,2399,3682.0,,0.0000,
0001,千房直営,000004,第4エリア,102   ,ぷれじでんと北店,2026/05/11,月,平日,,晴,25.0,15.0,計,274797,350000,0.7851,0.7851,323980,0.8482,18,5,15266.5,0.58,31,0.5806,25,0.7200,0,55326,0.2013,0.2013,0,116917,0.4255,0.4255,0.6268,0.6268,4632,3559.5,,0.0000,
0001,千房直営,000004,第4エリア,103   ,ぷれじでんとシェラトン都ホテル大阪店,2026/05/11,月,平日,,晴,25.0,15.0,計,,0,,,,,,,,0,0,,,,0,,,,0,0,,,,,0,,,,
0001,千房直営,000004,第4エリア,109   ,ぷれじでんとオー・エム・ホテル日航ビル店,2026/05/11,月,平日,,晴,25.0,15.0,計,,0,,,,,,,,0,0,,,,0,,,,0,0,,,,,0,,,,
0001,千房直営,000004,第4エリア,111   ,ぷれじでんと大丸心斎橋店,2026/05/11,月,平日,,晴,25.0,15.0,計,279075,350000,0.7974,0.7974,388848,0.7177,55,19,5074.1,1.62,44,1.2500,50,1.1000,165550,,0.0000,0.0000,0,106280,0.3808,0.3808,0.3808,0.3808,4320,3876.0,,0.0000,
0001,千房直営,000004,第4エリア,112   ,琥 虎ノ門,2026/05/11,月,平日,,晴,24.0,17.0,計,106530,220000,0.4842,0.4842,205700,0.5179,7,3,15218.6,0.50,15,0.4667,17,0.4118,0,10727,0.1007,0.1007,0,54060,0.5075,0.5075,0.6082,0.6082,2170,2945.5,,0.0000,
0001,千房直営,000004,第4エリア,113   ,ぷれじでんとRetreat,2026/05/11,月,平日,,晴,25.0,15.0,計,,80000,0.0000,0.0000,26000,0.0000,,,,0,7,0.0000,2,0.0000,0,,,,0,15984,,,,,655,0,,,
0001,千房直営,000001,第1エリア,301   ,道頓堀ビル店,2026/05/11,月,平日,,晴,25.0,15.0,計,1057836,1800000,0.5877,0.5877,1711997,0.6179,511,185,2070.1,2.76,750,0.6813,817,0.6255,453600,168765,0.1595,0.1595,0,259619,0.2454,0.2454,0.4050,0.4050,11406,5564.6,,0.0000,
0001,千房直営,600000,本社,333   ,検証,2026/05/11,月,平日,,晴,25.0,15.0,計,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
0001,千房直営,600000,本社,350   ,直営統括共通,2026/05/11,月,平日,,晴,25.0,15.0,計,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
0001,千房直営,600000,本社,352   ,商品企画,2026/05/11,月,平日,,晴,25.0,15.0,計,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
0001,千房直営,000001,第1エリア,702   ,Chibo`s Kitchen ららぽーと甲子園店,2026/05/11,月,平日,,晴,24.0,15.0,計,64667,100000,0.6467,0.6467,80580,0.8025,80,80,808.3,,0,,100,0.8000,0,,0.0000,0.0000,0,34953,0.5405,0.5405,0.5405,0.5405,1322,2935.0,,0.0000,
0001,千房直営,040000,ODEN事業部,704   ,すみ吉 心斎橋,2026/05/11,月,平日,,晴,25.0,15.0,計,57480,120000,0.4790,0.4790,160907,0.3572,4,1,14370.0,0.24,0,,22,0.1818,0,,0.0000,0.0000,0,51843,0.9019,0.9019,0.9019,0.9019,1851,1863.2,,0.0000,
0001,千房直営,030000,キッチンカー,800   ,キッチンカー,2026/05/11,月,平日,,晴,25.0,15.0,計,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
0002,千房FC,500002,FC第2エリア,515   ,大和郡山店,2026/05/11,月,平日,休,晴,25.0,12.0,計,,0,,,,,,,,0,0,,,,0,,,,,0,,,,,0,,,,
0002,千房FC,500003,FC第3エリア,516   ,阪急服部店,2026/05/11,月,平日,,晴,25.0,13.0,計,51322,80000,0.6415,0.6415,29234,1.7556,29,12,1769.7,0.67,53,0.5472,15,1.9333,0,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,522   ,金剛店,2026/05/11,月,平日,休,晴,24.0,13.0,計,,0,,,89862,0.0000,,,,0,0,,42,0.0000,2099,,,,,0,,,,,0,,,,
0002,千房FC,500004,FC第4エリア,526   ,高知野市店,2026/05/11,月,平日,,晴,23.0,14.0,計,18397,25000,0.7359,0.7359,14722,1.2496,9,7,2044.1,0.39,12,0.7500,12,0.7500,7767,7910,0.4300,0.4300,,0,0.0000,0.0000,0.4300,0.4300,0,,,0.0000,
0002,千房FC,500004,FC第4エリア,527   ,岡山大安寺店,2026/05/11,月,平日,,,,,計,,93000,0.0000,0.0000,122883,0.0000,,,,0,76,0.0000,74,0.0000,15035,,,,,0,,,,,0,,,,
0002,千房FC,500004,FC第4エリア,529   ,高知南国店,2026/05/11,月,平日,,晴,24.0,14.0,計,53744,60000,0.8957,0.8957,97015,0.5540,36,18,1492.9,0.82,48,0.7500,79,0.4557,15353,12900,0.2400,0.2400,,0,0.0000,0.0000,0.2400,0.2400,0,,,0.0000,
0002,千房FC,500004,FC第4エリア,531   ,高松レインボー店,2026/05/11,月,平日,,晴,24.0,14.0,計,152192,100000,1.5219,1.5219,61550,2.4727,94,27,1619.1,1.47,52,1.8077,46,2.0435,0,,0.0000,0.0000,0,34899,0.2293,0.2293,0.2293,0.2293,1773,5150.3,,0.0000,
0002,千房FC,500002,FC第2エリア,534   ,札幌アスティ４５店,2026/05/11,月,平日,,曇,20.0,14.0,計,109761,70000,1.5680,1.5680,91091,1.2050,71,44,1545.9,1.48,43,1.6512,81,0.8765,25800,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,535   ,丸太町七本松店,2026/05/11,月,平日,,晴,26.0,14.0,計,22773,30000,0.7591,0.7591,29164,0.7809,19,16,1198.6,0.73,11,1.7273,17,1.1176,11930,26298,1.1548,1.1548,,0,0.0000,0.0000,1.1548,1.1548,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,537   ,橋本高野口店,2026/05/11,月,平日,,曇,25.0,10.0,計,207049,100000,2.0705,2.0705,119432,1.7336,133,55,1556.8,1.45,65,2.0462,88,1.5114,20047,5126,0.0248,0.0248,,0,0.0000,0.0000,0.0248,0.0248,0,,,0.0000,
0002,千房FC,500002,FC第2エリア,541   ,仙台一番町店,2026/05/11,月,平日,,晴,21.0,12.0,計,,80000,0.0000,0.0000,,,,,,0,32,0.0000,,,25813,,,,,0,,,,,0,,,,
0002,千房FC,500004,FC第4エリア,542   ,広島パセーラ店,2026/05/11,月,平日,,晴,25.0,13.0,計,94258,90000,1.0473,1.0473,69883,1.3488,63,33,1496.2,1.13,54,1.1667,51,1.2353,60270,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500002,FC第2エリア,544   ,静岡パルシェ店,2026/05/11,月,平日,,曇,22.0,15.0,計,139943,90000,1.5549,1.5549,81867,1.7094,62,35,2257.1,1.55,54,1.1481,38,1.6316,22616,7230,0.0517,0.0517,,0,0.0000,0.0000,0.0517,0.0517,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,546   ,江坂店,2026/05/11,月,平日,,晴,26.0,14.0,計,77859,75000,1.0381,1.0381,47513,1.6387,47,31,1656.6,1.38,45,1.0444,31,1.5161,13500,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500002,FC第2エリア,554   ,ザ・モール仙台長町店,2026/05/11,月,平日,,晴,21.0,12.0,計,28976,66000,0.4390,0.4390,58898,0.4920,20,11,1448.8,0.40,37,0.5405,35,0.5714,0,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,558   ,ADVANCE 広尾店,2026/05/11,月,平日,,晴,24.0,17.0,計,227610,195000,1.1672,1.1672,0,,15,4,15174.0,0.71,19,0.7895,0,,0,,0.0000,0.0000,,23918,0.1051,0.1051,0.1051,0.1051,925,14763.9,,0.0000,
0002,千房FC,500004,FC第4エリア,560   ,イオンモール白山店,2026/05/11,月,平日,,晴,23.0,11.0,計,56867,70000,0.8124,0.8124,61838,0.9196,42,24,1354.0,0.84,46,0.9130,44,0.9545,0,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,561   ,京都祇園店,2026/05/11,月,平日,,曇,26.0,13.0,計,95464,100000,0.9546,0.9546,179076,0.5331,40,21,2386.6,0.98,34,1.1765,83,0.4819,0,,0.0000,0.0000,,0,0.0000,0.0000,0.0000,0.0000,0,,,0.0000,
0002,千房FC,500002,FC第2エリア,562   ,せんちゅうパル店,2026/05/11,月,平日,,晴,25.0,13.0,計,92732,180000,0.5152,0.5152,212275,0.4368,57,38,1626.9,2.11,126,0.4524,128,0.4453,0,,0.0000,0.0000,0,84375,0.9099,0.9099,0.9099,0.9099,3507,1586.5,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/05/11,月,平日,,晴,25.0,15.0,計,244534,109448,2.2342,2.2342,74770,3.2705,41,15,5964.2,,9,4.5556,12,3.4167,6300,5246,0.0215,0.0215,,0,0.0000,0.0000,0.0215,0.0215,0,,,0.0000,
